[[0.48375184638109303, 0.3529240944225857, 0.40195628947078177, 0.2977790445983128],
[0.42134416543574593, 0.34924757147090624, 0.3797652371330202, 0.25902383858064115],
[0.41986706056129985, 0.34701936805353206, 0.3399164255104091, 0.270918451374455],
[0.45679468242245197, 0.3552073301823322, 0.34881514268453645, 0.2968416177316965],
[0.6026587887740029, 0.4683487192987212, 0.5464234799605959, 0.4045903152878489],
[0.603397341211226, 0.46818216609773383, 0.520452782632779, 0.40481501540641895],
[0.6052437223042836, 0.45873563970016434, 0.5332219964870154, 0.4197321171148784],
[0.6418020679468243, 0.4671320363332857, 0.5795785590030506, 0.436194073441493],
[0.6333087149187593, 0.49772926384106553, 0.5796359501787466, 0.4259226559721891],
[0.6872230428360414, 0.5207315184016107, 0.6198174463920718, 0.4834879760410128],
[0.6683899556868538, 0.5189246537573229, 0.62490621647647, 0.48562767437891463],
[0.6838995568685377, 0.5200457886409778, 0.6231391288856718, 0.4866311387120013],
[0.6994091580502215, 0.5247617325501216, 0.6151994866758466, 0.49290921908075425],
[0.7141802067946824, 0.5313464084206948, 0.6293713809824036, 0.5027194035444453],
[0.7163958641063516, 0.5283682890167547, 0.6372234870540023, 0.5080896728355974],
[0.7256277695716395, 0.5321353481446326, 0.6957145691625041, 0.5140218804285653]]
